Mod:Item:MetaData, Localized Name
ExtraUtilities:color_stone:7, Colored Stone (Gray Frequency)
ExtraUtilities:color_stone:8, Colored Stone (Light Gray Frequency)
ExtraUtilities:color_stone:9, Colored Stone (Cyan Frequency)
ExtraUtilities:color_stone:10, Colored Stone (Purple Frequency)
ExtraUtilities:color_stone:11, Colored Stone (Blue Frequency)
ExtraUtilities:color_stone:12, Colored Stone (Brown Frequency)
ExtraUtilities:color_stone:13, Colored Stone (Green Frequency)
ExtraUtilities:color_stone:14, Colored Stone (Red Frequency)
ExtraUtilities:color_stone:15, Colored Stone (Black Frequency)
ExtraUtilities:color_quartzBlock:0, Colored Block of Quartz (White Frequency)
ExtraUtilities:color_quartzBlock:1, Colored Block of Quartz (Orange Frequency)
ExtraUtilities:color_quartzBlock:2, Colored Block of Quartz (Magenta Frequency)
ExtraUtilities:color_quartzBlock:3, Colored Block of Quartz (Light Blue Frequency)
ExtraUtilities:color_quartzBlock:4, Colored Block of Quartz (Yellow Frequency)
ExtraUtilities:color_quartzBlock:5, Colored Block of Quartz (Lime Frequency)
ExtraUtilities:color_quartzBlock:6, Colored Block of Quartz (Pink Frequency)
ExtraUtilities:color_quartzBlock:7, Colored Block of Quartz (Gray Frequency)
ExtraUtilities:color_quartzBlock:8, Colored Block of Quartz (Light Gray Frequency)
ExtraUtilities:color_quartzBlock:9, Colored Block of Quartz (Cyan Frequency)
ExtraUtilities:color_quartzBlock:10, Colored Block of Quartz (Purple Frequency)
ExtraUtilities:color_quartzBlock:11, Colored Block of Quartz (Blue Frequency)
ExtraUtilities:color_quartzBlock:12, Colored Block of Quartz (Brown Frequency)
ExtraUtilities:color_quartzBlock:13, Colored Block of Quartz (Green Frequency)
ExtraUtilities:color_quartzBlock:14, Colored Block of Quartz (Red Frequency)
ExtraUtilities:color_quartzBlock:15, Colored Block of Quartz (Black Frequency)
ExtraUtilities:color_hellsand:0, Colored Soul Sand (White Frequency)
ExtraUtilities:color_hellsand:1, Colored Soul Sand (Orange Frequency)
ExtraUtilities:color_hellsand:2, Colored Soul Sand (Magenta Frequency)
ExtraUtilities:color_hellsand:3, Colored Soul Sand (Light Blue Frequency)
ExtraUtilities:color_hellsand:4, Colored Soul Sand (Yellow Frequency)
ExtraUtilities:color_hellsand:5, Colored Soul Sand (Lime Frequency)
ExtraUtilities:color_hellsand:6, Colored Soul Sand (Pink Frequency)
ExtraUtilities:color_hellsand:7, Colored Soul Sand (Gray Frequency)
ExtraUtilities:color_hellsand:8, Colored Soul Sand (Light Gray Frequency)
ExtraUtilities:color_hellsand:9, Colored Soul Sand (Cyan Frequency)
ExtraUtilities:color_hellsand:10, Colored Soul Sand (Purple Frequency)
ExtraUtilities:color_hellsand:11, Colored Soul Sand (Blue Frequency)
ExtraUtilities:color_hellsand:12, Colored Soul Sand (Brown Frequency)
ExtraUtilities:color_hellsand:13, Colored Soul Sand (Green Frequency)
ExtraUtilities:color_hellsand:14, Colored Soul Sand (Red Frequency)
ExtraUtilities:color_hellsand:15, Colored Soul Sand (Black Frequency)
ExtraUtilities:color_redstoneLight:0, Colored Redstone Lamp (White Frequency)
ExtraUtilities:color_redstoneLight:1, Colored Redstone Lamp (Orange Frequency)
ExtraUtilities:color_redstoneLight:2, Colored Redstone Lamp (Magenta Frequency)
ExtraUtilities:color_redstoneLight:3, Colored Redstone Lamp (Light Blue Frequency)
ExtraUtilities:color_redstoneLight:4, Colored Redstone Lamp (Yellow Frequency)
ExtraUtilities:color_redstoneLight:5, Colored Redstone Lamp (Lime Frequency)
ExtraUtilities:color_redstoneLight:6, Colored Redstone Lamp (Pink Frequency)
ExtraUtilities:color_redstoneLight:7, Colored Redstone Lamp (Gray Frequency)
ExtraUtilities:color_redstoneLight:8, Colored Redstone Lamp (Light Gray Frequency)
ExtraUtilities:color_redstoneLight:9, Colored Redstone Lamp (Cyan Frequency)
ExtraUtilities:color_redstoneLight:10, Colored Redstone Lamp (Purple Frequency)
ExtraUtilities:color_redstoneLight:11, Colored Redstone Lamp (Blue Frequency)
ExtraUtilities:color_redstoneLight:12, Colored Redstone Lamp (Brown Frequency)
ExtraUtilities:color_redstoneLight:13, Colored Redstone Lamp (Green Frequency)
ExtraUtilities:color_redstoneLight:14, Colored Redstone Lamp (Red Frequency)
ExtraUtilities:color_redstoneLight:15, Colored Redstone Lamp (Black Frequency)
ExtraUtilities:color_brick:0, Colored Bricks (White Frequency)
ExtraUtilities:color_brick:1, Colored Bricks (Orange Frequency)
ExtraUtilities:color_brick:2, Colored Bricks (Magenta Frequency)
ExtraUtilities:color_brick:3, Colored Bricks (Light Blue Frequency)
ExtraUtilities:color_brick:4, Colored Bricks (Yellow Frequency)
ExtraUtilities:color_brick:5, Colored Bricks (Lime Frequency)
ExtraUtilities:color_brick:6, Colored Bricks (Pink Frequency)
ExtraUtilities:color_brick:7, Colored Bricks (Gray Frequency)
ExtraUtilities:color_brick:8, Colored Bricks (Light Gray Frequency)
ExtraUtilities:color_brick:9, Colored Bricks (Cyan Frequency)
ExtraUtilities:color_brick:10, Colored Bricks (Purple Frequency)
ExtraUtilities:color_brick:11, Colored Bricks (Blue Frequency)
ExtraUtilities:color_brick:12, Colored Bricks (Brown Frequency)
ExtraUtilities:color_brick:13, Colored Bricks (Green Frequency)
ExtraUtilities:color_brick:14, Colored Bricks (Red Frequency)
ExtraUtilities:color_brick:15, Colored Bricks (Black Frequency)
ExtraUtilities:color_stonebrick:0, Colored Cobblestone (White Frequency)
ExtraUtilities:color_stonebrick:1, Colored Cobblestone (Orange Frequency)
ExtraUtilities:color_stonebrick:2, Colored Cobblestone (Magenta Frequency)
ExtraUtilities:color_stonebrick:3, Colored Cobblestone (Light Blue Frequency)
ExtraUtilities:color_stonebrick:4, Colored Cobblestone (Yellow Frequency)
ExtraUtilities:color_stonebrick:5, Colored Cobblestone (Lime Frequency)
ExtraUtilities:color_stonebrick:6, Colored Cobblestone (Pink Frequency)
ExtraUtilities:color_stonebrick:7, Colored Cobblestone (Gray Frequency)
ExtraUtilities:color_stonebrick:8, Colored Cobblestone (Light Gray Frequency)
ExtraUtilities:color_stonebrick:9, Colored Cobblestone (Cyan Frequency)
ExtraUtilities:color_stonebrick:10, Colored Cobblestone (Purple Frequency)
ExtraUtilities:color_stonebrick:11, Colored Cobblestone (Blue Frequency)
ExtraUtilities:color_stonebrick:12, Colored Cobblestone (Brown Frequency)
ExtraUtilities:color_stonebrick:13, Colored Cobblestone (Green Frequency)
ExtraUtilities:color_stonebrick:14, Colored Cobblestone (Red Frequency)
ExtraUtilities:color_stonebrick:15, Colored Cobblestone (Black Frequency)
ExtraUtilities:color_blockLapis:0, Colored Lapis Lazuli Block (White Frequency)
ExtraUtilities:color_blockLapis:1, Colored Lapis Lazuli Block (Orange Frequency)
ExtraUtilities:color_blockLapis:2, Colored Lapis Lazuli Block (Magenta Frequency)
ExtraUtilities:color_blockLapis:3, Colored Lapis Lazuli Block (Light Blue Frequency)
ExtraUtilities:color_blockLapis:4, Colored Lapis Lazuli Block (Yellow Frequency)
ExtraUtilities:color_blockLapis:5, Colored Lapis Lazuli Block (Lime Frequency)
ExtraUtilities:color_blockLapis:6, Colored Lapis Lazuli Block (Pink Frequency)
ExtraUtilities:color_blockLapis:7, Colored Lapis Lazuli Block (Gray Frequency)
ExtraUtilities:color_blockLapis:8, Colored Lapis Lazuli Block (Light Gray Frequency)
ExtraUtilities:color_blockLapis:9, Colored Lapis Lazuli Block (Cyan Frequency)
ExtraUtilities:color_blockLapis:10, Colored Lapis Lazuli Block (Purple Frequency)
ExtraUtilities:color_blockLapis:11, Colored Lapis Lazuli Block (Blue Frequency)
ExtraUtilities:color_blockLapis:12, Colored Lapis Lazuli Block (Brown Frequency)
ExtraUtilities:color_blockLapis:13, Colored Lapis Lazuli Block (Green Frequency)
ExtraUtilities:color_blockLapis:14, Colored Lapis Lazuli Block (Red Frequency)
ExtraUtilities:color_blockLapis:15, Colored Lapis Lazuli Block (Black Frequency)
ExtraUtilities:color_obsidian:0, Colored Obsidian (White Frequency)
ExtraUtilities:color_obsidian:1, Colored Obsidian (Orange Frequency)
ExtraUtilities:color_obsidian:2, Colored Obsidian (Magenta Frequency)
ExtraUtilities:color_obsidian:3, Colored Obsidian (Light Blue Frequency)
ExtraUtilities:color_obsidian:4, Colored Obsidian (Yellow Frequency)
ExtraUtilities:color_obsidian:5, Colored Obsidian (Lime Frequency)
ExtraUtilities:color_obsidian:6, Colored Obsidian (Pink Frequency)
ExtraUtilities:color_obsidian:7, Colored Obsidian (Gray Frequency)
ExtraUtilities:color_obsidian:8, Colored Obsidian (Light Gray Frequency)
ExtraUtilities:color_obsidian:9, Colored Obsidian (Cyan Frequency)
ExtraUtilities:color_obsidian:10, Colored Obsidian (Purple Frequency)
ExtraUtilities:color_obsidian:11, Colored Obsidian (Blue Frequency)
ExtraUtilities:color_obsidian:12, Colored Obsidian (Brown Frequency)
ExtraUtilities:color_obsidian:13, Colored Obsidian (Green Frequency)
ExtraUtilities:color_obsidian:14, Colored Obsidian (Red Frequency)
ExtraUtilities:color_obsidian:15, Colored Obsidian (Black Frequency)
ExtraUtilities:color_blockRedstone:0, Colored Block of Redstone (White Frequency)
ExtraUtilities:color_blockRedstone:1, Colored Block of Redstone (Orange Frequency)
ExtraUtilities:color_blockRedstone:2, Colored Block of Redstone (Magenta Frequency)
ExtraUtilities:color_blockRedstone:3, Colored Block of Redstone (Light Blue Frequency)
ExtraUtilities:color_blockRedstone:4, Colored Block of Redstone (Yellow Frequency)
ExtraUtilities:color_blockRedstone:5, Colored Block of Redstone (Lime Frequency)
ExtraUtilities:color_blockRedstone:6, Colored Block of Redstone (Pink Frequency)
ExtraUtilities:color_blockRedstone:7, Colored Block of Redstone (Gray Frequency)
ExtraUtilities:color_blockRedstone:8, Colored Block of Redstone (Light Gray Frequency)
ExtraUtilities:color_blockRedstone:9, Colored Block of Redstone (Cyan Frequency)
ExtraUtilities:color_blockRedstone:10, Colored Block of Redstone (Purple Frequency)
ExtraUtilities:color_blockRedstone:11, Colored Block of Redstone (Blue Frequency)
ExtraUtilities:color_blockRedstone:12, Colored Block of Redstone (Brown Frequency)
ExtraUtilities:color_blockRedstone:13, Colored Block of Redstone (Green Frequency)
ExtraUtilities:color_blockRedstone:14, Colored Block of Redstone (Red Frequency)
ExtraUtilities:color_blockRedstone:15, Colored Block of Redstone (Black Frequency)
ExtraUtilities:color_blockCoal:0, Colored Block of Coal (White Frequency)
ExtraUtilities:color_blockCoal:1, Colored Block of Coal (Orange Frequency)
ExtraUtilities:color_blockCoal:2, Colored Block of Coal (Magenta Frequency)
ExtraUtilities:color_blockCoal:3, Colored Block of Coal (Light Blue Frequency)
ExtraUtilities:color_blockCoal:4, Colored Block of Coal (Yellow Frequency)
ExtraUtilities:color_blockCoal:5, Colored Block of Coal (Lime Frequency)
ExtraUtilities:color_blockCoal:6, Colored Block of Coal (Pink Frequency)
ExtraUtilities:color_blockCoal:7, Colored Block of Coal (Gray Frequency)
ExtraUtilities:color_blockCoal:8, Colored Block of Coal (Light Gray Frequency)
ExtraUtilities:color_blockCoal:9, Colored Block of Coal (Cyan Frequency)
ExtraUtilities:color_blockCoal:10, Colored Block of Coal (Purple Frequency)
ExtraUtilities:color_blockCoal:11, Colored Block of Coal (Blue Frequency)
ExtraUtilities:color_blockCoal:12, Colored Block of Coal (Brown Frequency)
ExtraUtilities:color_blockCoal:13, Colored Block of Coal (Green Frequency)
ExtraUtilities:color_blockCoal:14, Colored Block of Coal (Red Frequency)
ExtraUtilities:color_blockCoal:15, Colored Block of Coal (Black Frequency)
ExtraUtilities:cobblestone_compressed:0, Compressed Cobblestone
ExtraUtilities:cobblestone_compressed:1, Double Compressed Cobblestone
ExtraUtilities:cobblestone_compressed:2, Triple Compressed Cobblestone
ExtraUtilities:cobblestone_compressed:3, Quadruple Compressed Cobblestone
ExtraUtilities:cobblestone_compressed:4, Quintuple Compressed Cobblestone
ExtraUtilities:cobblestone_compressed:5, Sextuple Compressed Cobblestone
ExtraUtilities:cobblestone_compressed:6, Septuple Compressed Cobblestone
ExtraUtilities:cobblestone_compressed:7, Octuple Compressed Cobblestone
ExtraUtilities:cobblestone_compressed:8, Compressed Dirt
ExtraUtilities:cobblestone_compressed:9, Double Compressed Dirt
ExtraUtilities:cobblestone_compressed:10, Triple Compressed Dirt
ExtraUtilities:cobblestone_compressed:11, Quadruple Compressed Dirt
ExtraUtilities:cobblestone_compressed:12, Compressed Gravel
ExtraUtilities:cobblestone_compressed:13, Double Compressed Gravel
ExtraUtilities:cobblestone_compressed:14, Compressed Sand
ExtraUtilities:cobblestone_compressed:15, Double Compressed Sand
ExtraUtilities:conveyor, Conveyor Belt
ExtraUtilities:filing:0, Filing Cabinet
ExtraUtilities:filing:1, Filing Cabinet (Advanced)
ExtraUtilities:greenscreen:0, Lapis Caelestis Albus (White)
ExtraUtilities:greenscreen:1, Lapis Caelestis Aurantiacus (Orange)
ExtraUtilities:greenscreen:2, Lapis Caelestis Purpura Amethystinus (Magenta)
ExtraUtilities:greenscreen:3, Lapis Caelestis Caesicius (Light Blue)
ExtraUtilities:greenscreen:4, Lapis Caelestis Flavus (Yellow)
ExtraUtilities:greenscreen:5, Lapis Caelestis Viridis (Green)
ExtraUtilities:greenscreen:6, Lapis Caelestis Roseus (Pink)
ExtraUtilities:greenscreen:7, Lapis Caelestis Cinereus (Gray)
ExtraUtilities:greenscreen:8, Lapis Caelestis Lux Cinereus (Light Gray)
ExtraUtilities:greenscreen:9, Lapis Caelestis Callainus (Cyan)
ExtraUtilities:greenscreen:10, Lapis Caelestis Purpura (Purple)
ExtraUtilities:greenscreen:11, Lapis Caelestis Caeruleus (Blue)
ExtraUtilities:greenscreen:12, Lapis Caelestis Fuscus (Brown)
ExtraUtilities:greenscreen:13, Lapis Caelestis Paphiae Myrti (Dark Green)
ExtraUtilities:greenscreen:14, Lapis Caelestis Rufus (Red)
ExtraUtilities:greenscreen:15, Lapis Caelestis Nox (Black)
ExtraUtilities:peaceful_table_top, Peaceful Table
ExtraUtilities:trading_post, Trading Post
ExtraUtilities:sound_muffler:0, Sound Muffler
ExtraUtilities:sound_muffler:1, Rain Muffler
ExtraUtilities:extractor_base:0, Transfer Node (Items)
ExtraUtilities:extractor_base:6, Transfer Node (Liquids)
ExtraUtilities:extractor_base:12, Transfer Node (Energy)
ExtraUtilities:extractor_base:13, Transfer Node (Hyper Energy)
ExtraUtilities:extractor_base_remote:0, Retrieval Node (Items)
ExtraUtilities:extractor_base_remote:6, Retrieval Node (Liquids)
ExtraUtilities:pipes:0, Transfer Pipe
ExtraUtilities:pipes:8, Sorting Pipe
ExtraUtilities:pipes:9, Filter Pipe
ExtraUtilities:pipes:10, Rationing Pipe
ExtraUtilities:pipes:11, Energy Pipe
ExtraUtilities:pipes:12, Crossover Pipe
ExtraUtilities:pipes:13, Mod Sorting Pipe
ExtraUtilities:pipes:14, Energy Extraction Pipe
ExtraUtilities:pipes.1:0, Hyper-Rationing Pipe
ExtraUtilities:cursedearthside:0, Cursed Earth
ExtraUtilities:trashcan:0, Trash Can
ExtraUtilities:trashcan:1, Trash Can (Fluids)
ExtraUtilities:trashcan:2, Trash Can (Energy)
ExtraUtilities:spike_base, Iron Spike
ExtraUtilities:spike_base_diamond, Diamond Spike
ExtraUtilities:spike_base_gold, Golden Spike
ExtraUtilities:spike_base_wood, Wooden Spike
ExtraUtilities:enderThermicPump, Ender-Thermic Pump
ExtraUtilities:enderQuarry, Ender Quarry
ExtraUtilities:enderQuarryUpgrade:0, Ender Quarry Upgrade Base
ExtraUtilities:enderQuarryUpgrade:1, Ender Quarry World Hole Upgrade
ExtraUtilities:enderQuarryUpgrade:2, Ender Quarry Silk Touch Upgrade
ExtraUtilities:enderQuarryUpgrade:3, Ender Quarry Fortune I Upgrade
ExtraUtilities:enderQuarryUpgrade:4, Ender Quarry Fortune II Upgrade
ExtraUtilities:enderQuarryUpgrade:5, Ender Quarry Fortune III Upgrade
ExtraUtilities:enderQuarryUpgrade:6, Ender Quarry Speed I Upgrade
ExtraUtilities:enderQuarryUpgrade:7, Ender Quarry Speed II Upgrade
ExtraUtilities:enderQuarryUpgrade:8, Ender Quarry Speed III Upgrade
ExtraUtilities:enderQuarryUpgrade:9, Ender Quarry Pump Upgrade
ExtraUtilities:plant/ender_lilly, Ender-Lily Seeds
ExtraUtilities:timer, Redstone Clock
ExtraUtilities:magnumTorch:0, Magnum Torch
ExtraUtilities:drum:0, Drum
ExtraUtilities:drum:1, Bedrockium Drum
ExtraUtilities:generator:0, Survivalist Generator
ExtraUtilities:generator:1, Furnace Generator
ExtraUtilities:generator:2, Lava Generator
ExtraUtilities:generator:3, Ender Generator
ExtraUtilities:generator:4, Heated Redstone Generator
ExtraUtilities:generator:5, Culinary Generator
ExtraUtilities:generator:6, Potions Generator
ExtraUtilities:generator:7, Solar Generator
ExtraUtilities:generator:8, TNT Generator
ExtraUtilities:generator:9, Pink Generator
ExtraUtilities:generator:10, High-temperature Furnace Generator
ExtraUtilities:generator:11, Nether Star Generator
ExtraUtilities:generator.8:0, Survivalist Generator
ExtraUtilities:generator.8:1, Furnace Generator
ExtraUtilities:generator.8:2, Lava Generator
ExtraUtilities:generator.8:3, Ender Generator
ExtraUtilities:generator.8:4, Heated Redstone Generator
ExtraUtilities:generator.8:5, Culinary Generator
ExtraUtilities:generator.8:6, Potions Generator
ExtraUtilities:generator.8:7, Solar Generator
ExtraUtilities:generator.8:8, TNT Generator
ExtraUtilities:generator.8:9, Pink Generator
ExtraUtilities:generator.8:10, High-temperature Furnace Generator
ExtraUtilities:generator.8:11, Nether Star Generator
ExtraUtilities:generator.64:0, Survivalist Generator
ExtraUtilities:generator.64:1, Furnace Generator
ExtraUtilities:generator.64:2, Lava Generator
ExtraUtilities:generator.64:3, Ender Generator
ExtraUtilities:generator.64:4, Heated Redstone Generator
ExtraUtilities:generator.64:5, Culinary Generator
ExtraUtilities:generator.64:6, Potions Generator
ExtraUtilities:generator.64:7, Solar Generator
ExtraUtilities:generator.64:8, TNT Generator
ExtraUtilities:generator.64:9, Pink Generator
ExtraUtilities:generator.64:10, High-temperature Furnace Generator
ExtraUtilities:generator.64:11, Nether Star Generator
ExtraUtilities:dark_portal:0, Portal to The Deep Dark
ExtraUtilities:dark_portal:2, Portal to The Last Millenium
ExtraUtilities:etherealglass:0, Ethereal Glass
ExtraUtilities:etherealglass:1, Ineffable Glass
ExtraUtilities:etherealglass:2, Dark Ethereal Glass
ExtraUtilities:etherealglass:3, Ethereal Glass (Inverted)
ExtraUtilities:etherealglass:4, Ineffable Glass (Inverted)
ExtraUtilities:etherealglass:5, Dark Ethereal Glass (Inverted)
Mekanism:BasicBlock:0, Osmium Block
Mekanism:BasicBlock:1, Bronze Block
Mekanism:BasicBlock:2, Refined Obsidian
Mekanism:BasicBlock:3, Charcoal Block
Mekanism:BasicBlock:4, Refined Glowstone
Mekanism:BasicBlock:5, Steel Block
Mekanism:BasicBlock:6, Basic Bin
Mekanism:BasicBlock:6, Advanced Bin
Mekanism:BasicBlock:6, Elite Bin
Mekanism:BasicBlock:6, Ultimate Bin
Mekanism:BasicBlock:7, Teleporter Frame
Mekanism:BasicBlock:8, Steel Casing
Mekanism:BasicBlock:9, Dynamic Tank
Mekanism:BasicBlock:10, Structural Glass
Mekanism:BasicBlock:11, Dynamic Valve
Mekanism:BasicBlock:12, Copper Block
Mekanism:BasicBlock:13, Tin Block
Mekanism:BasicBlock:14, Thermal Evaporation Controller
Mekanism:BasicBlock:15, Thermal Evaporation Valve
Mekanism:BasicBlock2:0, Thermal Evaporation Block
Mekanism:BasicBlock2:1, Induction Casing
Mekanism:BasicBlock2:2, Induction Port
Mekanism:BasicBlock2:3, Basic Induction Cell
Mekanism:BasicBlock2:3, Advanced Induction Cell
Mekanism:BasicBlock2:3, Elite Induction Cell
Mekanism:BasicBlock2:3, Ultimate Induction Cell
Mekanism:BasicBlock2:4, Basic Induction Provider
Mekanism:BasicBlock2:4, Advanced Induction Provider
Mekanism:BasicBlock2:4, Elite Induction Provider
Mekanism:BasicBlock2:4, Ultimate Induction Provider
Mekanism:BasicBlock2:5, Superheating Element
Mekanism:BasicBlock2:6, Pressure Disperser
Mekanism:BasicBlock2:7, Boiler Casing
Mekanism:BasicBlock2:8, Boiler Valve
Mekanism:BasicBlock2:9, Security Desk
Mekanism:OreBlock:0, Osmium Ore
Mekanism:OreBlock:1, Copper Ore
Mekanism:OreBlock:2, Tin Ore
Mekanism:EnergyCube, tile.EnergyCube.name
Mekanism:ObsidianTNT, Obsidian TNT
Mekanism:BoundingBlock, Bounding Block
Mekanism:GasTank:0, Basic Gas Tank
Mekanism:GasTank:0, Advanced Gas Tank
Mekanism:GasTank:0, Elite Gas Tank
Mekanism:GasTank:0, Ultimate Gas Tank
Mekanism:CardboardBox, Cardboard Box
Mekanism:PlasticBlock:0, §8Black Plastic Block
Mekanism:PlasticBlock:1, §cRed Plastic Block
Mekanism:PlasticBlock:2, §2Green Plastic Block
Mekanism:PlasticBlock:3, §6Brown Plastic Block
Mekanism:PlasticBlock:4, §1Blue Plastic Block
Mekanism:PlasticBlock:5, §5Purple Plastic Block
Mekanism:PlasticBlock:6, §3Cyan Plastic Block
Mekanism:PlasticBlock:7, §7Light Grey Plastic Block
Mekanism:PlasticBlock:8, §8Grey Plastic Block
Mekanism:PlasticBlock:9, §dPink Plastic Block
Mekanism:PlasticBlock:10, §aLime Plastic Block
Mekanism:PlasticBlock:11, §eYellow Plastic Block
Mekanism:PlasticBlock:12, §9Light Blue Plastic Block
Mekanism:PlasticBlock:13, §dMagenta Plastic Block
Mekanism:PlasticBlock:14, §6Orange Plastic Block
Mekanism:PlasticBlock:15, §fWhite Plastic Block
Mekanism:SlickPlasticBlock:0, §8Black Slick Plastic Block
Mekanism:SlickPlasticBlock:1, §cRed Slick Plastic Block
Mekanism:SlickPlasticBlock:2, §2Green Slick Plastic Block
Mekanism:SlickPlasticBlock:3, §6Brown Slick Plastic Block
Mekanism:SlickPlasticBlock:4, §1Blue Slick Plastic Block
Mekanism:SlickPlasticBlock:5, §5Purple Slick Plastic Block
Mekanism:SlickPlasticBlock:6, §3Cyan Slick Plastic Block
Mekanism:SlickPlasticBlock:7, §7Light Grey Slick Plastic Block
Mekanism:SlickPlasticBlock:8, §8Grey Slick Plastic Block
Mekanism:SlickPlasticBlock:9, §dPink Slick Plastic Block
Mekanism:SlickPlasticBlock:10, §aLime Slick Plastic Block
Mekanism:SlickPlasticBlock:11, §eYellow Slick Plastic Block
Mekanism:SlickPlasticBlock:12, §9Light Blue Slick Plastic Block
Mekanism:SlickPlasticBlock:13, §dMagenta Slick Plastic Block
Mekanism:SlickPlasticBlock:14, §6Orange Slick Plastic Block
Mekanism:SlickPlasticBlock:15, §fWhite Slick Plastic Block
Mekanism:GlowPlasticBlock:0, §8Black Plastic Glow Block
Mekanism:GlowPlasticBlock:1, §cRed Plastic Glow Block
Mekanism:GlowPlasticBlock:2, §2Green Plastic Glow Block
Mekanism:GlowPlasticBlock:3, §6Brown Plastic Glow Block
Mekanism:GlowPlasticBlock:4, §1Blue Plastic Glow Block
Mekanism:GlowPlasticBlock:5, §5Purple Plastic Glow Block
Mekanism:GlowPlasticBlock:6, §3Cyan Plastic Glow Block
Mekanism:GlowPlasticBlock:7, §7Light Grey Plastic Glow Block
Mekanism:GlowPlasticBlock:8, §8Grey Plastic Glow Block
Mekanism:GlowPlasticBlock:9, §dPink Plastic Glow Block
Mekanism:GlowPlasticBlock:10, §aLime Plastic Glow Block
Mekanism:GlowPlasticBlock:11, §eYellow Plastic Glow Block
Mekanism:GlowPlasticBlock:12, §9Light Blue Plastic Glow Block
Mekanism:GlowPlasticBlock:13, §dMagenta Plastic Glow Block
Mekanism:GlowPlasticBlock:14, §6Orange Plastic Glow Block
Mekanism:GlowPlasticBlock:15, §fWhite Plastic Glow Block
Mekanism:ReinforcedPlasticBlock:0, §8Black Reinforced Plastic Block
Mekanism:ReinforcedPlasticBlock:1, §cRed Reinforced Plastic Block
Mekanism:ReinforcedPlasticBlock:2, §2Green Reinforced Plastic Block
Mekanism:ReinforcedPlasticBlock:3, §6Brown Reinforced Plastic Block
Mekanism:ReinforcedPlasticBlock:4, §1Blue Reinforced Plastic Block
Mekanism:ReinforcedPlasticBlock:5, §5Purple Reinforced Plastic Block
Mekanism:ReinforcedPlasticBlock:6, §3Cyan Reinforced Plastic Block
Mekanism:ReinforcedPlasticBlock:7, §7Light Grey Reinforced Plastic Block
Mekanism:ReinforcedPlasticBlock:8, §8Grey Reinforced Plastic Block
Mekanism:ReinforcedPlasticBlock:9, §dPink Reinforced Plastic Block
Mekanism:ReinforcedPlasticBlock:10, §aLime Reinforced Plastic Block
Mekanism:ReinforcedPlasticBlock:11, §eYellow Reinforced Plastic Block
Mekanism:ReinforcedPlasticBlock:12, §9Light Blue Reinforced Plastic Block
Mekanism:ReinforcedPlasticBlock:13, §dMagenta Reinforced Plastic Block
Mekanism:ReinforcedPlasticBlock:14, §6Orange Reinforced Plastic Block
Mekanism:ReinforcedPlasticBlock:15, §fWhite Reinforced Plastic Block
Mekanism:RoadPlasticBlock:0, §8Black Plastic Road
Mekanism:RoadPlasticBlock:1, §cRed Plastic Road
Mekanism:RoadPlasticBlock:2, §2Green Plastic Road
Mekanism:RoadPlasticBlock:3, §6Brown Plastic Road
Mekanism:RoadPlasticBlock:4, §1Blue Plastic Road
Mekanism:RoadPlasticBlock:5, §5Purple Plastic Road
Mekanism:RoadPlasticBlock:6, §3Cyan Plastic Road
Mekanism:RoadPlasticBlock:7, §7Light Grey Plastic Road
Mekanism:RoadPlasticBlock:8, §8Grey Plastic Road
Mekanism:RoadPlasticBlock:9, §dPink Plastic Road
Mekanism:RoadPlasticBlock:10, §aLime Plastic Road
Mekanism:RoadPlasticBlock:11, §eYellow Plastic Road
Mekanism:RoadPlasticBlock:12, §9Light Blue Plastic Road
Mekanism:RoadPlasticBlock:13, §dMagenta Plastic Road
Mekanism:RoadPlasticBlock:14, §6Orange Plastic Road
Mekanism:RoadPlasticBlock:15, §fWhite Plastic Road
Mekanism:PlasticFence:0, §8Black Plastic Barrier
Mekanism:PlasticFence:1, §cRed Plastic Barrier
Mekanism:PlasticFence:2, §2Green Plastic Barrier
Mekanism:PlasticFence:3, §6Brown Plastic Barrier
Mekanism:PlasticFence:4, §1Blue Plastic Barrier
Mekanism:PlasticFence:5, §5Purple Plastic Barrier
Mekanism:PlasticFence:6, §3Cyan Plastic Barrier
Mekanism:PlasticFence:7, §7Light Grey Plastic Barrier
Mekanism:PlasticFence:8, §8Grey Plastic Barrier
Mekanism:PlasticFence:9, §dPink Plastic Barrier
Mekanism:PlasticFence:10, §aLime Plastic Barrier
Mekanism:PlasticFence:11, §eYellow Plastic Barrier
Mekanism:PlasticFence:12, §9Light Blue Plastic Barrier
Mekanism:PlasticFence:13, §dMagenta Plastic Barrier
Mekanism:PlasticFence:14, §6Orange Plastic Barrier
Mekanism:PlasticFence:15, §fWhite Plastic Barrier
Mekanism:SaltBlock, Salt Block
MekanismGenerators:Generator:0, Heat Generator
MekanismGenerators:Generator:1, Solar Generator
MekanismGenerators:Generator:3, Gas-Burning Generator
MekanismGenerators:Generator:4, Bio-Generator
MekanismGenerators:Generator:5, Advanced Solar Generator
MekanismGenerators:Generator:6, Wind Generator
MekanismGenerators:Generator:7, Turbine Rotor
MekanismGenerators:Generator:8, Rotational Complex
MekanismGenerators:Generator:9, Electromagnetic Coil
MekanismGenerators:Generator:10, Turbine Casing
MekanismGenerators:Generator:11, Turbine Valve
MekanismGenerators:Generator:12, Turbine Vent
MekanismGenerators:Generator:13, Saturating Condenser
